name,load,startTime,endTime,startPos,endPos
DeRotterda.West.LW.LW02,0,2014-04-03 08:29:39,2014-04-03 08:30:03,0,14
DeRotterda.West.LW.LW02,10,2014-04-03 08:30:12,2014-04-03 08:30:36,14,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:30:45,2014-04-03 08:31:09,0,15
DeRotterda.West.LW.LW02,5,2014-04-03 08:31:18,2014-04-03 08:31:43,15,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:36:57,2014-04-03 08:37:51,0,44
DeRotterda.West.LW.LW02,8,2014-04-03 08:38:00,2014-04-03 08:38:06,44,43
DeRotterda.West.LW.LW02,4,2014-04-03 08:38:15,2014-04-03 08:38:22,43,42
DeRotterda.West.LW.LW02,9,2014-04-03 08:38:30,2014-04-03 08:39:20,42,1
DeRotterda.West.LW.LW02,0,2014-04-03 08:53:57,2014-04-03 08:54:12,1,8
DeRotterda.West.LW.LW02,4,2014-04-03 08:54:21,2014-04-03 08:54:39,8,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:56:44,2014-04-03 08:57:38,0,44
DeRotterda.West.LW.LW02,13,2014-04-03 08:57:47,2014-04-03 08:58:13,44,25
DeRotterda.West.LW.LW02,3,2014-04-03 08:58:59,2014-04-03 08:59:33,25,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:59:43,2014-04-03 08:59:53,0,2
DeRotterda.West.LW.LW02,13,2014-04-03 09:00:28,2014-04-03 09:00:56,2,22
DeRotterda.West.LW.LW02,3,2014-04-03 09:04:52,2014-04-03 09:05:06,22,15
DeRotterda.West.LW.LW02,6,2014-04-03 09:05:16,2014-04-03 09:05:41,15,0
DeRotterda.West.LW.LW02,0,2014-04-03 09:06:01,2014-04-03 09:06:37,0,26
DeRotterda.West.LW.LW02,11,2014-04-03 09:06:50,2014-04-03 09:07:15,26,44
DeRotterda.West.LW.LW02,5,2014-04-03 09:07:25,2014-04-03 09:07:40,44,36
DeRotterda.West.LW.LW02,7,2014-04-03 09:07:49,2014-04-03 09:07:56,36,35
DeRotterda.West.LW.LW02,8,2014-04-03 09:09:05,2014-04-03 09:09:12,35,34
DeRotterda.West.LW.LW02,7,2014-04-03 09:10:16,2014-04-03 09:10:23,34,35
DeRotterda.West.LW.LW02,8,2014-04-03 09:10:33,2014-04-03 09:10:42,35,33
DeRotterda.West.LW.LW02,7,2014-04-03 09:11:13,2014-04-03 09:11:20,33,32
DeRotterda.West.LW.LW02,7,2014-04-03 09:12:03,2014-04-03 09:12:11,32,31
DeRotterda.West.LW.LW02,7,2014-04-03 09:12:41,2014-04-03 09:12:47,31,30
DeRotterda.West.LW.LW02,7,2014-04-03 09:16:57,2014-04-03 09:17:04,30,29
DeRotterda.West.LW.LW02,7,2014-04-03 09:19:40,2014-04-03 09:19:47,29,28
DeRotterda.West.LW.LW02,7,2014-04-03 09:20:20,2014-04-03 09:20:27,28,27
DeRotterda.West.LW.LW02,7,2014-04-03 09:21:05,2014-04-03 09:21:12,27,26
DeRotterda.West.LW.LW02,7,2014-04-03 09:23:40,2014-04-03 09:23:47,26,25
DeRotterda.West.LW.LW02,7,2014-04-03 09:26:10,2014-04-03 09:26:17,25,24
DeRotterda.West.LW.LW02,14,2014-04-03 09:27:00,2014-04-03 09:27:10,24,21
DeRotterda.West.LW.LW02,17,2014-04-03 09:27:18,2014-04-03 09:27:39,21,7
DeRotterda.West.LW.LW02,16,2014-04-03 09:27:45,2014-04-03 09:28:02,7,0
DeRotterda.West.LW.LW02,1,2014-04-03 09:28:24,2014-04-03 09:28:58,0,24
DeRotterda.West.LW.LW02,6,2014-04-03 09:29:07,2014-04-03 09:29:15,24,23
DeRotterda.West.LW.LW02,3,2014-04-03 09:29:55,2014-04-03 09:30:28,23,0
DeRotterda.West.LW.LW02,10,2014-04-03 09:30:37,2014-04-03 09:30:53,0,7
DeRotterda.West.LW.LW02,1,2014-04-03 09:31:53,2014-04-03 09:32:30,7,22
DeRotterda.West.LW.LW02,6,2014-04-03 09:32:39,2014-04-03 09:32:46,22,21
DeRotterda.West.LW.LW02,6,2014-04-03 09:33:27,2014-04-03 09:33:34,21,20
DeRotterda.West.LW.LW02,3,2014-04-03 09:34:35,2014-04-03 09:34:44,20,22
DeRotterda.West.LW.LW02,6,2014-04-03 09:34:53,2014-04-03 09:35:01,22,20
DeRotterda.West.LW.LW02,10,2014-04-03 09:35:10,2014-04-03 09:35:17,20,19
DeRotterda.West.LW.LW02,6,2014-04-03 09:35:26,2014-04-03 09:35:54,19,0
DeRotterda.West.LW.LW02,4,2014-04-03 09:36:21,2014-04-03 09:36:56,0,25
DeRotterda.West.LW.LW02,7,2014-04-03 09:37:28,2014-04-03 09:37:53,25,7
DeRotterda.West.LW.LW02,1,2014-04-03 09:39:50,2014-04-03 09:39:56,7,8
DeRotterda.West.LW.LW02,9,2014-04-03 09:40:06,2014-04-03 09:40:23,8,0
DeRotterda.West.LW.LW02,0,2014-04-03 09:43:36,2014-04-03 09:44:01,0,15
DeRotterda.West.LW.LW02,5,2014-04-03 09:44:11,2014-04-03 09:44:17,15,14
DeRotterda.West.LW.LW02,2,2014-04-03 09:44:34,2014-04-03 09:44:58,14,0
DeRotterda.West.LW.LW02,0,2014-04-03 09:45:14,2014-04-03 09:45:24,0,2
DeRotterda.West.LW.LW02,5,2014-04-03 09:45:33,2014-04-03 09:46:01,2,22
DeRotterda.West.LW.LW02,3,2014-04-03 09:46:11,2014-04-03 09:46:52,22,17
DeRotterda.West.LW.LW02,8,2014-04-03 09:47:01,2014-04-03 09:47:27,17,0
DeRotterda.West.LW.LW02,0,2014-04-03 09:47:36,2014-04-03 09:47:58,0,13
DeRotterda.West.LW.LW02,4,2014-04-03 09:48:07,2014-04-03 09:48:13,13,12
DeRotterda.West.LW.LW02,4,2014-04-03 09:48:54,2014-04-03 09:49:01,12,11
DeRotterda.West.LW.LW02,4,2014-04-03 09:49:30,2014-04-03 09:49:37,11,10
DeRotterda.West.LW.LW02,1,2014-04-03 09:50:42,2014-04-03 09:51:03,10,24
DeRotterda.West.LW.LW02,6,2014-04-03 09:51:14,2014-04-03 09:51:35,24,10
DeRotterda.West.LW.LW02,8,2014-04-03 09:51:46,2014-04-03 09:51:53,10,9
DeRotterda.West.LW.LW02,5,2014-04-03 09:52:01,2014-04-03 09:52:10,9,7
DeRotterda.West.LW.LW02,1,2014-04-03 09:52:24,2014-04-03 09:52:32,7,9
DeRotterda.West.LW.LW02,4,2014-04-03 09:52:41,2014-04-03 09:52:48,9,8
